frase,situacao
Sinto dor no peito e falta de ar,alto risco
Tenho pressão no tórax e suor frio,alto risco
Estou com palpitações e tontura frequente,alto risco
Tenho dificuldade para respirar ao caminhar,alto risco
Sinto dor irradiando para o braço esquerdo,alto risco
Apresento aperto no peito após esforço físico,alto risco
Sinto mal-estar intenso e cansaço persistente,alto risco
Tenho leve cansaço após esforço,baixo risco
Senti um pequeno desconforto nas costas,baixo risco
Estou um pouco cansado hoje,baixo risco
Tive dor leve no peito que passou rápido,baixo risco
Sinto fadiga leve no final do dia,baixo risco
Percebi um pequeno incômodo no ombro,baixo risco
Fiquei cansado após subir muitos degraus,baixo risco
